IDS_PROPITEM_TXT_000000	一般
IDS_PROPITEM_TXT_000105	
IDS_PROPITEM_TXT_000106	龙麟长剑
IDS_PROPITEM_TXT_000107	
IDS_PROPITEM_TXT_000108	皮铵长剑
IDS_PROPITEM_TXT_000109	
IDS_PROPITEM_TXT_000110	天山长剑
IDS_PROPITEM_TXT_000111	
IDS_PROPITEM_TXT_000112	玛斯特长剑
IDS_PROPITEM_TXT_000113	
IDS_PROPITEM_TXT_000114	鲁娜兵剑
IDS_PROPITEM_TXT_000115	
IDS_PROPITEM_TXT_000116	月魂冰剑
IDS_PROPITEM_TXT_000117	
IDS_PROPITEM_TXT_000118	雷纹之剑
IDS_PROPITEM_TXT_000119	
IDS_PROPITEM_TXT_000120	侠客风之剑
IDS_PROPITEM_TXT_000121	
IDS_PROPITEM_TXT_000122	卡临斧
IDS_PROPITEM_TXT_000123	
IDS_PROPITEM_TXT_000124	罗德尼斧
IDS_PROPITEM_TXT_000125	
IDS_PROPITEM_TXT_000126	钢斧
IDS_PROPITEM_TXT_000127	
IDS_PROPITEM_TXT_000128	摩罗斧
IDS_PROPITEM_TXT_000129	
IDS_PROPITEM_TXT_000130	克雷宁斧
IDS_PROPITEM_TXT_000131	
IDS_PROPITEM_TXT_000132	雷格斧
IDS_PROPITEM_TXT_000133	
IDS_PROPITEM_TXT_000134	塞比勒斧
IDS_PROPITEM_TXT_000135	
IDS_PROPITEM_TXT_000136	萨丁斧
IDS_PROPITEM_TXT_000137	
IDS_PROPITEM_TXT_000138	勾仑斧
IDS_PROPITEM_TXT_000139	
IDS_PROPITEM_TXT_000140	希尔斧
IDS_PROPITEM_TXT_000141	
IDS_PROPITEM_TXT_000142	贝因斧
IDS_PROPITEM_TXT_000143	
IDS_PROPITEM_TXT_000144	戈朗斧
IDS_PROPITEM_TXT_000145	
IDS_PROPITEM_TXT_000146	土伶斧
IDS_PROPITEM_TXT_000147	
IDS_PROPITEM_TXT_000148	德隆斧
IDS_PROPITEM_TXT_000149	
IDS_PROPITEM_TXT_000150	马欧斧
IDS_PROPITEM_TXT_000151	
IDS_PROPITEM_TXT_000152	普罗昂斧
IDS_PROPITEM_TXT_000153	
IDS_PROPITEM_TXT_000154	佩特尔斧
IDS_PROPITEM_TXT_000155	
IDS_PROPITEM_TXT_000156	可琳斧
IDS_PROPITEM_TXT_000157	
IDS_PROPITEM_TXT_000158	艾森斧
IDS_PROPITEM_TXT_000159	
IDS_PROPITEM_TXT_000160	戈洛奥斧
IDS_PROPITEM_TXT_000161	
IDS_PROPITEM_TXT_000162	沃斧
IDS_PROPITEM_TXT_000163	
IDS_PROPITEM_TXT_000164	艾贝雷
IDS_PROPITEM_TXT_000165	
IDS_PROPITEM_TXT_000166	扎伊鲁斧
IDS_PROPITEM_TXT_000167	
IDS_PROPITEM_TXT_000168	波肯斧
IDS_PROPITEM_TXT_000169	
IDS_PROPITEM_TXT_000170	海拉斯斧
IDS_PROPITEM_TXT_000171	
IDS_PROPITEM_TXT_000172	亚德林斧
IDS_PROPITEM_TXT_000173	
IDS_PROPITEM_TXT_000174	凯乐士斧
IDS_PROPITEM_TXT_000175	
IDS_PROPITEM_TXT_000176	幽灵之斧
IDS_PROPITEM_TXT_000177	
IDS_PROPITEM_TXT_000178	金钝斧
IDS_PROPITEM_TXT_000179	
IDS_PROPITEM_TXT_000180	蝴蝶斧
IDS_PROPITEM_TXT_000181	
IDS_PROPITEM_TXT_000182	肯堤士斧
IDS_PROPITEM_TXT_000183	
IDS_PROPITEM_TXT_000184	雷西亚斧
IDS_PROPITEM_TXT_000185	
IDS_PROPITEM_TXT_000186	石鞘斧
IDS_PROPITEM_TXT_000187	
IDS_PROPITEM_TXT_000188	艾西特斧
IDS_PROPITEM_TXT_000189	
IDS_PROPITEM_TXT_000190	普罗斯斧
IDS_PROPITEM_TXT_000191	
IDS_PROPITEM_TXT_000192	绮缤斧
IDS_PROPITEM_TXT_000193	
IDS_PROPITEM_TXT_000194	狄毕纳斧
IDS_PROPITEM_TXT_000195	
IDS_PROPITEM_TXT_000196	鬼器斧
IDS_PROPITEM_TXT_000197	
IDS_PROPITEM_TXT_000198	坎培诺斧
IDS_PROPITEM_TXT_000199	
IDS_PROPITEM_TXT_000200	绿咒之斧
IDS_PROPITEM_TXT_000201	
IDS_PROPITEM_TXT_000202	柏德斧
IDS_PROPITEM_TXT_000203	
IDS_PROPITEM_TXT_000204	翡翠之斧
IDS_PROPITEM_TXT_000205	
IDS_PROPITEM_TXT_000206	德兰伊斧
IDS_PROPITEM_TXT_000207	
IDS_PROPITEM_TXT_000208	柯罗斧
IDS_PROPITEM_TXT_000209	
IDS_PROPITEM_TXT_000210	伏莱魔斧
IDS_PROPITEM_TXT_000211	
IDS_PROPITEM_TXT_000212	水链斧
IDS_PROPITEM_TXT_000213	
IDS_PROPITEM_TXT_000214	瑞奇斧
IDS_PROPITEM_TXT_000215	
IDS_PROPITEM_TXT_000216	马克斧
IDS_PROPITEM_TXT_000217	
IDS_PROPITEM_TXT_000218	巴斯塔剑
IDS_PROPITEM_TXT_000219	
IDS_PROPITEM_TXT_000220	双手剑
IDS_PROPITEM_TXT_000221	
IDS_PROPITEM_TXT_000222	闇幽剑
IDS_PROPITEM_TXT_000223	
IDS_PROPITEM_TXT_000224	艾德提剑
IDS_PROPITEM_TXT_000225	
IDS_PROPITEM_TXT_000226	扎古剑
IDS_PROPITEM_TXT_000227	
IDS_PROPITEM_TXT_000228	卡雷恩剑
IDS_PROPITEM_TXT_000229	
IDS_PROPITEM_TXT_000230	古提尼剑
IDS_PROPITEM_TXT_000231	
IDS_PROPITEM_TXT_000232	赫云坦杰剑
IDS_PROPITEM_TXT_000233	
IDS_PROPITEM_TXT_000234	时空斩
IDS_PROPITEM_TXT_000235	
IDS_PROPITEM_TXT_000236	双手斧
IDS_PROPITEM_TXT_000237	
IDS_PROPITEM_TXT_000238	葛雷特斧
IDS_PROPITEM_TXT_000239	
IDS_PROPITEM_TXT_000240	克格斧
IDS_PROPITEM_TXT_000241	
IDS_PROPITEM_TXT_000242	罗克尼斧
IDS_PROPITEM_TXT_000243	
IDS_PROPITEM_TXT_000244	欧伯纳斧
IDS_PROPITEM_TXT_000245	
IDS_PROPITEM_TXT_000246	卡奈斧
IDS_PROPITEM_TXT_000247	
IDS_PROPITEM_TXT_000248	兽人斧
IDS_PROPITEM_TXT_000249	
IDS_PROPITEM_TXT_000250	里伶斧
IDS_PROPITEM_TXT_000251	
IDS_PROPITEM_TXT_000252	哈德斧
IDS_PROPITEM_TXT_000253	
IDS_PROPITEM_TXT_000254	玫思法棒
IDS_PROPITEM_TXT_000255	
IDS_PROPITEM_TXT_000256	普林法棒
IDS_PROPITEM_TXT_000257	
IDS_PROPITEM_TXT_000258	席琳法棒
IDS_PROPITEM_TXT_000259	
IDS_PROPITEM_TXT_000260	斯克尔法棒
IDS_PROPITEM_TXT_000261	
IDS_PROPITEM_TXT_000262	帝姆法棒
IDS_PROPITEM_TXT_000263	
IDS_PROPITEM_TXT_000264	休伊法棒
IDS_PROPITEM_TXT_000265	
IDS_PROPITEM_TXT_000266	贝尼法棒
IDS_PROPITEM_TXT_000267	
IDS_PROPITEM_TXT_000268	米洛法棒
IDS_PROPITEM_TXT_000269	
IDS_PROPITEM_TXT_000270	史雷尔法棒
IDS_PROPITEM_TXT_000271	
IDS_PROPITEM_TXT_000272	塞伊法棒
IDS_PROPITEM_TXT_000273	
IDS_PROPITEM_TXT_000274	佩罗法棒
IDS_PROPITEM_TXT_000275	
IDS_PROPITEM_TXT_000276	神圣法棒
IDS_PROPITEM_TXT_000277	
IDS_PROPITEM_TXT_000278	光影法棒
IDS_PROPITEM_TXT_000279	
IDS_PROPITEM_TXT_000280	普罗里法棒
IDS_PROPITEM_TXT_000281	
IDS_PROPITEM_TXT_000282	凯因法棒
IDS_PROPITEM_TXT_000283	
IDS_PROPITEM_TXT_000284	奈格斯法棒
IDS_PROPITEM_TXT_000285	
IDS_PROPITEM_TXT_000286	瓦卡法棒
IDS_PROPITEM_TXT_000287	
IDS_PROPITEM_TXT_000288	模溯法棒
IDS_PROPITEM_TXT_000289	
IDS_PROPITEM_TXT_000290	海因法棒
IDS_PROPITEM_TXT_000291	
IDS_PROPITEM_TXT_000292	席兹法棒
IDS_PROPITEM_TXT_000293	
IDS_PROPITEM_TXT_000294	佩玻冥法棒
IDS_PROPITEM_TXT_000295	
IDS_PROPITEM_TXT_000296	夕莱因法棒
IDS_PROPITEM_TXT_000297	
IDS_PROPITEM_TXT_000298	翌斯特林法棒
IDS_PROPITEM_TXT_000299	
IDS_PROPITEM_TXT_000300	皮诺克法棒
IDS_PROPITEM_TXT_000301	
IDS_PROPITEM_TXT_000302	魔拉法棒
IDS_PROPITEM_TXT_000303	
IDS_PROPITEM_TXT_000304	雷普法棒
IDS_PROPITEM_TXT_000305	
IDS_PROPITEM_TXT_000306	樱桃法棒
IDS_PROPITEM_TXT_000307	
IDS_PROPITEM_TXT_000308	幻梦法棒
IDS_PROPITEM_TXT_000309	
IDS_PROPITEM_TXT_000310	佩尔麻因法棒
IDS_PROPITEM_TXT_000311	
IDS_PROPITEM_TXT_000312	魔蓝迪法棒
IDS_PROPITEM_TXT_000313	
IDS_PROPITEM_TXT_000314	巴鲁法棒
IDS_PROPITEM_TXT_000315	
IDS_PROPITEM_TXT_000316	巴哈斯法棒
IDS_PROPITEM_TXT_000317	
IDS_PROPITEM_TXT_000318	咕噜法棒
IDS_PROPITEM_TXT_000319	
IDS_PROPITEM_TXT_000320	蓝犽法棒
IDS_PROPITEM_TXT_000321	
IDS_PROPITEM_TXT_000322	天音法棒
IDS_PROPITEM_TXT_000323	
IDS_PROPITEM_TXT_000324	神曲法棒
IDS_PROPITEM_TXT_000325	
IDS_PROPITEM_TXT_000326	碧德琳法棒
IDS_PROPITEM_TXT_000327	
IDS_PROPITEM_TXT_000328	奥鲁法棒
IDS_PROPITEM_TXT_000329	
IDS_PROPITEM_TXT_000330	星冰乐法棒
IDS_PROPITEM_TXT_000331	
IDS_PROPITEM_TXT_000332	六角法棒
IDS_PROPITEM_TXT_000333	
IDS_PROPITEM_TXT_000334	萝莉法棒
IDS_PROPITEM_TXT_000335	
IDS_PROPITEM_TXT_000336	紫荆法棒
IDS_PROPITEM_TXT_000337	
IDS_PROPITEM_TXT_000338	马雷特法棒
IDS_PROPITEM_TXT_000339	
IDS_PROPITEM_TXT_000340	格雷因法棒
IDS_PROPITEM_TXT_000341	
IDS_PROPITEM_TXT_000342	克罗司法杖
IDS_PROPITEM_TXT_000343	
IDS_PROPITEM_TXT_000344	席尔法杖
IDS_PROPITEM_TXT_000345	
IDS_PROPITEM_TXT_000346	水晶法杖
IDS_PROPITEM_TXT_000347	
IDS_PROPITEM_TXT_000348	钻晶法杖
IDS_PROPITEM_TXT_000349	
IDS_PROPITEM_TXT_000350	粉嫩法杖
IDS_PROPITEM_TXT_000351	
IDS_PROPITEM_TXT_000352	爱圮法杖
IDS_PROPITEM_TXT_000353	
IDS_PROPITEM_TXT_000354	托帕兹法杖
IDS_PROPITEM_TXT_000355	
IDS_PROPITEM_TXT_000356	尼兹法杖
IDS_PROPITEM_TXT_000357	
IDS_PROPITEM_TXT_000358	猫眼法杖
IDS_PROPITEM_TXT_000359	
IDS_PROPITEM_TXT_000360	翡翠法杖
IDS_PROPITEM_TXT_000361	
IDS_PROPITEM_TXT_000362	染血法杖
IDS_PROPITEM_TXT_000363	
IDS_PROPITEM_TXT_000364	卡利斯法杖
IDS_PROPITEM_TXT_000365	
IDS_PROPITEM_TXT_000366	梅乐法杖
IDS_PROPITEM_TXT_000367	
IDS_PROPITEM_TXT_000368	波利法杖
IDS_PROPITEM_TXT_000369	
IDS_PROPITEM_TXT_000370	奥罗拉法杖
IDS_PROPITEM_TXT_000371	
IDS_PROPITEM_TXT_000372	梅卡西法杖
IDS_PROPITEM_TXT_000373	
IDS_PROPITEM_TXT_000374	欧佩法杖
IDS_PROPITEM_TXT_000375	
IDS_PROPITEM_TXT_000376	那兹法杖
IDS_PROPITEM_TXT_000377	
IDS_PROPITEM_TXT_000378	迷思提法杖
IDS_PROPITEM_TXT_000379	
IDS_PROPITEM_TXT_000380	杰琳法杖
IDS_PROPITEM_TXT_000381	
IDS_PROPITEM_TXT_000382	七彩法杖
IDS_PROPITEM_TXT_000383	
IDS_PROPITEM_TXT_000384	彩虹法杖
IDS_PROPITEM_TXT_000385	
IDS_PROPITEM_TXT_000386	紫莹法杖
IDS_PROPITEM_TXT_000387	
IDS_PROPITEM_TXT_000388	司波海伊法杖
IDS_PROPITEM_TXT_000389	
IDS_PROPITEM_TXT_000390	耶鲁杰法杖
IDS_PROPITEM_TXT_000391	
IDS_PROPITEM_TXT_000392	米拉吉法杖
IDS_PROPITEM_TXT_000393	
IDS_PROPITEM_TXT_000394	圣洁法杖
IDS_PROPITEM_TXT_000395	
IDS_PROPITEM_TXT_000396	亚利斯法杖
IDS_PROPITEM_TXT_000397	
IDS_PROPITEM_TXT_000398	迪巴因法杖
IDS_PROPITEM_TXT_000399	
IDS_PROPITEM_TXT_000400	雅玛法杖
IDS_PROPITEM_TXT_000401	
IDS_PROPITEM_TXT_000402	内波勒斯法杖
IDS_PROPITEM_TXT_000403	
IDS_PROPITEM_TXT_000404	亚哪迪尔法杖
IDS_PROPITEM_TXT_000405	
IDS_PROPITEM_TXT_000406	熔岩法杖
IDS_PROPITEM_TXT_000407	
IDS_PROPITEM_TXT_000408	魂妖法杖
IDS_PROPITEM_TXT_000409	
IDS_PROPITEM_TXT_000410	蔓陀法杖
IDS_PROPITEM_TXT_000411	
IDS_PROPITEM_TXT_000412	冰滴法杖
IDS_PROPITEM_TXT_000413	
IDS_PROPITEM_TXT_000414	幸运法杖
IDS_PROPITEM_TXT_000415	
IDS_PROPITEM_TXT_000416	蓝楪法杖
IDS_PROPITEM_TXT_000417	
IDS_PROPITEM_TXT_000418	库洛斯法杖
IDS_PROPITEM_TXT_000419	
IDS_PROPITEM_TXT_000420	迷思法杖
IDS_PROPITEM_TXT_000421	
IDS_PROPITEM_TXT_000422	旋风法杖
IDS_PROPITEM_TXT_000423	
IDS_PROPITEM_TXT_000424	挪咤法杖
IDS_PROPITEM_TXT_000425	
IDS_PROPITEM_TXT_000426	太阳法杖
IDS_PROPITEM_TXT_000427	
IDS_PROPITEM_TXT_000428	噜啦啦法杖
IDS_PROPITEM_TXT_000429	
IDS_PROPITEM_TXT_000430	克伦令牌
IDS_PROPITEM_TXT_000431	
IDS_PROPITEM_TXT_000432	麻伊令牌
IDS_PROPITEM_TXT_000433	
IDS_PROPITEM_TXT_000434	塞伊文令牌
IDS_PROPITEM_TXT_000435	
IDS_PROPITEM_TXT_000436	德拉令牌
IDS_PROPITEM_TXT_000437	
IDS_PROPITEM_TXT_000438	罗黛蒂令牌
IDS_PROPITEM_TXT_000439	
IDS_PROPITEM_TXT_000440	因内司令牌
IDS_PROPITEM_TXT_000441	
IDS_PROPITEM_TXT_000442	希尔令牌
IDS_PROPITEM_TXT_000443	
IDS_PROPITEM_TXT_000444	海乐得令牌
IDS_PROPITEM_TXT_000445	
IDS_PROPITEM_TXT_000446	艾古令牌
IDS_PROPITEM_TXT_000447	
IDS_PROPITEM_TXT_000448	艾德雪普令牌
IDS_PROPITEM_TXT_000449	
IDS_PROPITEM_TXT_000450	索雷德令牌
IDS_PROPITEM_TXT_000451	
IDS_PROPITEM_TXT_000452	萨因令牌
IDS_PROPITEM_TXT_000453	
IDS_PROPITEM_TXT_000454	司帕特令牌
IDS_PROPITEM_TXT_000455	
IDS_PROPITEM_TXT_000456	伊葛妮丝令牌
IDS_PROPITEM_TXT_000457	
IDS_PROPITEM_TXT_000458	杰西令牌
IDS_PROPITEM_TXT_000459	
IDS_PROPITEM_TXT_000460	汰巴令牌
IDS_PROPITEM_TXT_000461	
IDS_PROPITEM_TXT_000462	克斯摩斯令牌
IDS_PROPITEM_TXT_000463	
IDS_PROPITEM_TXT_000464	格拉雷令牌
IDS_PROPITEM_TXT_000465	
IDS_PROPITEM_TXT_000466	威特普令牌
IDS_PROPITEM_TXT_000467	
IDS_PROPITEM_TXT_000468	帝杰斯令牌
IDS_PROPITEM_TXT_000469	
IDS_PROPITEM_TXT_000470	奥琳令牌
IDS_PROPITEM_TXT_000471	
IDS_PROPITEM_TXT_000472	哈尔玛令牌
IDS_PROPITEM_TXT_000473	
IDS_PROPITEM_TXT_000474	维兹令牌
IDS_PROPITEM_TXT_000475	
IDS_PROPITEM_TXT_000476	阿斯特洛令牌
IDS_PROPITEM_TXT_000477	
IDS_PROPITEM_TXT_000478	粉晶令牌
IDS_PROPITEM_TXT_000479	
IDS_PROPITEM_TXT_000480	蔷薇令牌
IDS_PROPITEM_TXT_000481	
IDS_PROPITEM_TXT_000482	绿蜻蜓令牌
IDS_PROPITEM_TXT_000483	
IDS_PROPITEM_TXT_000484	枯叶令牌
IDS_PROPITEM_TXT_000485	
IDS_PROPITEM_TXT_000486	米诺斯令牌
IDS_PROPITEM_TXT_000487	
IDS_PROPITEM_TXT_000488	奈罗令牌
IDS_PROPITEM_TXT_000489	
IDS_PROPITEM_TXT_000490	三角令牌
IDS_PROPITEM_TXT_000491	
IDS_PROPITEM_TXT_000492	羽翼令牌
IDS_PROPITEM_TXT_000493	
IDS_PROPITEM_TXT_000494	库萨斯令牌
IDS_PROPITEM_TXT_000495	
IDS_PROPITEM_TXT_000496	伊莉雅令牌
IDS_PROPITEM_TXT_000497	
IDS_PROPITEM_TXT_000498	凯因斯令牌
IDS_PROPITEM_TXT_000499	
IDS_PROPITEM_TXT_000500	红眼令牌
IDS_PROPITEM_TXT_000501	
IDS_PROPITEM_TXT_000502	契德斯令牌
IDS_PROPITEM_TXT_000503	
IDS_PROPITEM_TXT_000504	法利罗斯令牌
IDS_PROPITEM_TXT_000505	
IDS_PROPITEM_TXT_000506	荷花令牌
IDS_PROPITEM_TXT_000507	
IDS_PROPITEM_TXT_000508	瑞笛司令牌
IDS_PROPITEM_TXT_000509	
IDS_PROPITEM_TXT_000510	妃欧蕾令牌
IDS_PROPITEM_TXT_000511	
IDS_PROPITEM_TXT_000512	兰里斯令牌
IDS_PROPITEM_TXT_000513	
IDS_PROPITEM_TXT_000514	霍克斯令牌
IDS_PROPITEM_TXT_000515	
IDS_PROPITEM_TXT_000516	瑟芬令牌
IDS_PROPITEM_TXT_000517	
IDS_PROPITEM_TXT_000518	克岚拳套
IDS_PROPITEM_TXT_000519	
IDS_PROPITEM_TXT_000520	奥柏岚拳套
IDS_PROPITEM_TXT_000521	
IDS_PROPITEM_TXT_000522	司帕特拳套
IDS_PROPITEM_TXT_000523	
IDS_PROPITEM_TXT_000524	萨丁拳套
IDS_PROPITEM_TXT_000525	
IDS_PROPITEM_TXT_000526	比特拳套
IDS_PROPITEM_TXT_000527	
IDS_PROPITEM_TXT_000528	特维拳套
IDS_PROPITEM_TXT_000529	
IDS_PROPITEM_TXT_000530	史莱兹拳套
IDS_PROPITEM_TXT_000531	
IDS_PROPITEM_TXT_000532	杰诺拳套
IDS_PROPITEM_TXT_000533	
IDS_PROPITEM_TXT_000534	史帕克拳套
IDS_PROPITEM_TXT_000535	
IDS_PROPITEM_TXT_000536	扎伊尔德拳套
IDS_PROPITEM_TXT_000537	
IDS_PROPITEM_TXT_000538	梅嘉拳套
IDS_PROPITEM_TXT_000539	
IDS_PROPITEM_TXT_000540	钛林拳套
IDS_PROPITEM_TXT_000541	
IDS_PROPITEM_TXT_000542	维兹拳套
IDS_PROPITEM_TXT_000543	
IDS_PROPITEM_TXT_000544	利可拳套
IDS_PROPITEM_TXT_000545	
IDS_PROPITEM_TXT_000546	罗宾拳套
IDS_PROPITEM_TXT_000547	
IDS_PROPITEM_TXT_000548	凯特拳套
IDS_PROPITEM_TXT_000549	
IDS_PROPITEM_TXT_000550	特罗凯拳套
IDS_PROPITEM_TXT_000551	
IDS_PROPITEM_TXT_000552	杰尼斯拳套
IDS_PROPITEM_TXT_000553	
IDS_PROPITEM_TXT_000554	纱克拳套
IDS_PROPITEM_TXT_000555	
IDS_PROPITEM_TXT_000556	魔柏尔拳套
IDS_PROPITEM_TXT_000557	
IDS_PROPITEM_TXT_000558	司波林拳套
IDS_PROPITEM_TXT_000559	
IDS_PROPITEM_TXT_000560	奥柏佩斯拳套
IDS_PROPITEM_TXT_000561	
IDS_PROPITEM_TXT_000562	亚兹麻拳套
IDS_PROPITEM_TXT_000563	
IDS_PROPITEM_TXT_000564	葛莱比提拳套
IDS_PROPITEM_TXT_000565	
IDS_PROPITEM_TXT_000566	弒血拳套
IDS_PROPITEM_TXT_000567	
IDS_PROPITEM_TXT_000568	格斗拳套
IDS_PROPITEM_TXT_000569	
IDS_PROPITEM_TXT_000570	安姆拳套
IDS_PROPITEM_TXT_000571	
IDS_PROPITEM_TXT_000572	狮头拳套
IDS_PROPITEM_TXT_000573	
IDS_PROPITEM_TXT_000574	黑慕拳套
IDS_PROPITEM_TXT_000575	
IDS_PROPITEM_TXT_000576	大车轮拳套
IDS_PROPITEM_TXT_000577	
IDS_PROPITEM_TXT_000578	骷髅拳套
IDS_PROPITEM_TXT_000579	
IDS_PROPITEM_TXT_000580	人面拳套
IDS_PROPITEM_TXT_000581	
IDS_PROPITEM_TXT_000582	落日拳套
IDS_PROPITEM_TXT_000583	
IDS_PROPITEM_TXT_000584	金莎拳套
IDS_PROPITEM_TXT_000585	
IDS_PROPITEM_TXT_000586	罗琳拳套
IDS_PROPITEM_TXT_000587	
IDS_PROPITEM_TXT_000588	塞司拳套
IDS_PROPITEM_TXT_000589	
IDS_PROPITEM_TXT_000590	凯莉拳套
IDS_PROPITEM_TXT_000591	
IDS_PROPITEM_TXT_000592	温斯顿拳套
IDS_PROPITEM_TXT_000593	
IDS_PROPITEM_TXT_000594	布拉蕾拳套
IDS_PROPITEM_TXT_000595	
IDS_PROPITEM_TXT_000596	鬼魂拳套
IDS_PROPITEM_TXT_000597	
IDS_PROPITEM_TXT_000598	钨镁拳套
IDS_PROPITEM_TXT_000599	
IDS_PROPITEM_TXT_000600	奴利塔拳套
IDS_PROPITEM_TXT_000601	
IDS_PROPITEM_TXT_000602	符咒拳套
IDS_PROPITEM_TXT_000603	
IDS_PROPITEM_TXT_000604	佛地魔拳套
IDS_PROPITEM_TXT_000605	
IDS_PROPITEM_TXT_000606	木制溜刃
IDS_PROPITEM_TXT_000607	
IDS_PROPITEM_TXT_000608	强化木制溜刃
IDS_PROPITEM_TXT_000609	
IDS_PROPITEM_TXT_000610	铁制溜刃
IDS_PROPITEM_TXT_000611	
IDS_PROPITEM_TXT_000612	强化铁制溜刃
IDS_PROPITEM_TXT_000613	
IDS_PROPITEM_TXT_000614	刺猬溜刃
IDS_PROPITEM_TXT_000615	
IDS_PROPITEM_TXT_000616	强化刺溜刃
IDS_PROPITEM_TXT_000617	
IDS_PROPITEM_TXT_000618	虎爪溜刃
IDS_PROPITEM_TXT_000619	
IDS_PROPITEM_TXT_000620	强化虎爪溜刃
IDS_PROPITEM_TXT_000621	
IDS_PROPITEM_TXT_000622	骨制溜刃
