IDS_PROPITEM_TXT_000000	Default
IDS_PROPITEM_TXT_000112	Smiter Sword
IDS_PROPITEM_TXT_000113	
IDS_PROPITEM_TXT_000114	Runaicing Sword
IDS_PROPITEM_TXT_000115	
IDS_PROPITEM_TXT_000116	Shadeving Sword
IDS_PROPITEM_TXT_000117	
IDS_PROPITEM_TXT_000118	Fireise Sword
IDS_PROPITEM_TXT_000119	
IDS_PROPITEM_TXT_000120	Hotter Sword
IDS_PROPITEM_TXT_000121	
IDS_PROPITEM_TXT_000122	Curin Axe
IDS_PROPITEM_TXT_000123	
IDS_PROPITEM_TXT_000124	Rodney Axe
IDS_PROPITEM_TXT_000125	
IDS_PROPITEM_TXT_000126	Steel Axe
IDS_PROPITEM_TXT_000127	
IDS_PROPITEM_TXT_000128	Morrow Axe
IDS_PROPITEM_TXT_000129	
IDS_PROPITEM_TXT_000130	Crenil Axe
IDS_PROPITEM_TXT_000131	
IDS_PROPITEM_TXT_000132	Curning Axe
IDS_PROPITEM_TXT_000133	
IDS_PROPITEM_TXT_000134	Sephir Axe
IDS_PROPITEM_TXT_000135	
IDS_PROPITEM_TXT_000136	Shyadin Axe
IDS_PROPITEM_TXT_000137	
IDS_PROPITEM_TXT_000138	Gorn Axe
IDS_PROPITEM_TXT_000139	
IDS_PROPITEM_TXT_000140	Bronze Axe
IDS_PROPITEM_TXT_000141	
IDS_PROPITEM_TXT_000142	Vain Axe
IDS_PROPITEM_TXT_000143	
IDS_PROPITEM_TXT_000144	Grang Axe
IDS_PROPITEM_TXT_000145	
IDS_PROPITEM_TXT_000146	Tooring Axe
IDS_PROPITEM_TXT_000147	
IDS_PROPITEM_TXT_000148	Drone Axe
IDS_PROPITEM_TXT_000149	
IDS_PROPITEM_TXT_000150	Karm Axe
IDS_PROPITEM_TXT_000151	
IDS_PROPITEM_TXT_000152	Proem Axe
IDS_PROPITEM_TXT_000153	
IDS_PROPITEM_TXT_000154	Battle Axe
IDS_PROPITEM_TXT_000155	
IDS_PROPITEM_TXT_000156	Corin Axe
IDS_PROPITEM_TXT_000157	
IDS_PROPITEM_TXT_000158	Action Axe
IDS_PROPITEM_TXT_000159	
IDS_PROPITEM_TXT_000160	Crow Axe
IDS_PROPITEM_TXT_000161	
IDS_PROPITEM_TXT_000162	War Axe
IDS_PROPITEM_TXT_000163	
IDS_PROPITEM_TXT_000164	Raptor Axe
IDS_PROPITEM_TXT_000165	
IDS_PROPITEM_TXT_000166	Zailon Axe
IDS_PROPITEM_TXT_000167	
IDS_PROPITEM_TXT_000168	Berk Axe
IDS_PROPITEM_TXT_000169	
IDS_PROPITEM_TXT_000170	Forge Axe
IDS_PROPITEM_TXT_000171	
IDS_PROPITEM_TXT_000172	Ardalin Axe
IDS_PROPITEM_TXT_000173	
IDS_PROPITEM_TXT_000174	Galaxy Axe
IDS_PROPITEM_TXT_000175	
IDS_PROPITEM_TXT_000176	Dolphin Axe
IDS_PROPITEM_TXT_000177	
IDS_PROPITEM_TXT_000178	Ribten Axe
IDS_PROPITEM_TXT_000179	
IDS_PROPITEM_TXT_000180	Bonebar Axe
IDS_PROPITEM_TXT_000181	
IDS_PROPITEM_TXT_000182	Cantess Axe
IDS_PROPITEM_TXT_000183	
IDS_PROPITEM_TXT_000184	Luxior Axe
IDS_PROPITEM_TXT_000185	
IDS_PROPITEM_TXT_000186	Stormpak Axe
IDS_PROPITEM_TXT_000187	
IDS_PROPITEM_TXT_000188	Exhoust Axe
IDS_PROPITEM_TXT_000189	
IDS_PROPITEM_TXT_000190	Needrek Axe
IDS_PROPITEM_TXT_000191	
IDS_PROPITEM_TXT_000192	Shakyfin Axe
IDS_PROPITEM_TXT_000193	
IDS_PROPITEM_TXT_000194	Phantege Axe
IDS_PROPITEM_TXT_000195	
IDS_PROPITEM_TXT_000196	Hitch Axe
IDS_PROPITEM_TXT_000197	
IDS_PROPITEM_TXT_000198	Buterfle Axe
IDS_PROPITEM_TXT_000199	
IDS_PROPITEM_TXT_000200	Catchy Axe
IDS_PROPITEM_TXT_000201	
IDS_PROPITEM_TXT_000202	Driff Axe
IDS_PROPITEM_TXT_000203	
IDS_PROPITEM_TXT_000204	Fellpeed Axe
IDS_PROPITEM_TXT_000205	
IDS_PROPITEM_TXT_000206	Saintsail Axe
IDS_PROPITEM_TXT_000207	
IDS_PROPITEM_TXT_000208	Darcro Axe
IDS_PROPITEM_TXT_000209	
IDS_PROPITEM_TXT_000210	Flaper Axe
IDS_PROPITEM_TXT_000211	
IDS_PROPITEM_TXT_000212	Waturan Axe
IDS_PROPITEM_TXT_000213	
IDS_PROPITEM_TXT_000214	Witcher Axe
IDS_PROPITEM_TXT_000215	
IDS_PROPITEM_TXT_000216	Lichiky Axe
IDS_PROPITEM_TXT_000217	
IDS_PROPITEM_TXT_000218	Berserk Sword
IDS_PROPITEM_TXT_000219	
IDS_PROPITEM_TXT_000220	Two Handed Sword
IDS_PROPITEM_TXT_000221	
IDS_PROPITEM_TXT_000222	Darkonizer Sword
IDS_PROPITEM_TXT_000223	
IDS_PROPITEM_TXT_000224	Adaptizer Sword
IDS_PROPITEM_TXT_000225	
IDS_PROPITEM_TXT_000226	Zweigazer Sword
IDS_PROPITEM_TXT_000227	
IDS_PROPITEM_TXT_000228	Kaleonizer Sword
IDS_PROPITEM_TXT_000229	
IDS_PROPITEM_TXT_000230	Gootnizer Sword
IDS_PROPITEM_TXT_000231	
IDS_PROPITEM_TXT_000232	Hauntizer Sword
IDS_PROPITEM_TXT_000233	
IDS_PROPITEM_TXT_000234	Clock Slayer Sword
IDS_PROPITEM_TXT_000235	
IDS_PROPITEM_TXT_000236	Two Handed Axe
IDS_PROPITEM_TXT_000237	
IDS_PROPITEM_TXT_000238	Great Axe
IDS_PROPITEM_TXT_000239	
IDS_PROPITEM_TXT_000240	Kergnition Axe
IDS_PROPITEM_TXT_000241	
IDS_PROPITEM_TXT_000242	Lurknition Axe
IDS_PROPITEM_TXT_000243	
IDS_PROPITEM_TXT_000244	Avnition Axe
IDS_PROPITEM_TXT_000245	
IDS_PROPITEM_TXT_000246	Kanainition Axe
IDS_PROPITEM_TXT_000247	
IDS_PROPITEM_TXT_000248	Orcanition Axe
IDS_PROPITEM_TXT_000249	
IDS_PROPITEM_TXT_000250	Linition Axe
IDS_PROPITEM_TXT_000251	
IDS_PROPITEM_TXT_000252	Hardinition Axe
IDS_PROPITEM_TXT_000253	
IDS_PROPITEM_TXT_000254	May Stick
IDS_PROPITEM_TXT_000255	
IDS_PROPITEM_TXT_000256	Plim Stick
IDS_PROPITEM_TXT_000257	
IDS_PROPITEM_TXT_000258	Sirin Stick
IDS_PROPITEM_TXT_000259	
IDS_PROPITEM_TXT_000260	Scull Stick
IDS_PROPITEM_TXT_000261	
IDS_PROPITEM_TXT_000262	Tim Stick
IDS_PROPITEM_TXT_000263	
IDS_PROPITEM_TXT_000264	Huey Stick
IDS_PROPITEM_TXT_000265	
IDS_PROPITEM_TXT_000266	Bopol Stick
IDS_PROPITEM_TXT_000267	
IDS_PROPITEM_TXT_000268	Kudos Stick
IDS_PROPITEM_TXT_000269	
IDS_PROPITEM_TXT_000270	Spim Stick
IDS_PROPITEM_TXT_000271	
IDS_PROPITEM_TXT_000272	Sayram Stick
IDS_PROPITEM_TXT_000273	
IDS_PROPITEM_TXT_000274	Pero Stick
IDS_PROPITEM_TXT_000275	
IDS_PROPITEM_TXT_000276	Saint Stick
IDS_PROPITEM_TXT_000277	
IDS_PROPITEM_TXT_000278	Gogo Stick
IDS_PROPITEM_TXT_000279	
IDS_PROPITEM_TXT_000280	Flury Stick
IDS_PROPITEM_TXT_000281	
IDS_PROPITEM_TXT_000282	Gale Stick
IDS_PROPITEM_TXT_000283	
IDS_PROPITEM_TXT_000284	Ninegale Stick
IDS_PROPITEM_TXT_000285	
IDS_PROPITEM_TXT_000286	Zanne Stick
IDS_PROPITEM_TXT_000287	
IDS_PROPITEM_TXT_000288	Mirth Stick
IDS_PROPITEM_TXT_000289	
IDS_PROPITEM_TXT_000290	Hein Stick
IDS_PROPITEM_TXT_000291	
IDS_PROPITEM_TXT_000292	Sizzle Stick
IDS_PROPITEM_TXT_000293	
IDS_PROPITEM_TXT_000294	Peppermint Stick
IDS_PROPITEM_TXT_000295	
IDS_PROPITEM_TXT_000296	Sealine Stick
IDS_PROPITEM_TXT_000297	
IDS_PROPITEM_TXT_000298	Extreme Stick
IDS_PROPITEM_TXT_000299	
IDS_PROPITEM_TXT_000300	Pinacle Stick
IDS_PROPITEM_TXT_000301	
IDS_PROPITEM_TXT_000302	Marple Stick
IDS_PROPITEM_TXT_000303	
IDS_PROPITEM_TXT_000304	Rave Stick
IDS_PROPITEM_TXT_000305	
IDS_PROPITEM_TXT_000306	Cherry Stick
IDS_PROPITEM_TXT_000307	
IDS_PROPITEM_TXT_000308	Fanta Stick
IDS_PROPITEM_TXT_000309	
IDS_PROPITEM_TXT_000310	Fairmine Stick
IDS_PROPITEM_TXT_000311	
IDS_PROPITEM_TXT_000312	Moralemine Stick
IDS_PROPITEM_TXT_000313	
IDS_PROPITEM_TXT_000314	Shabere Stick
IDS_PROPITEM_TXT_000315	
IDS_PROPITEM_TXT_000316	Shinewing Stick
IDS_PROPITEM_TXT_000317	
IDS_PROPITEM_TXT_000318	Requer Stick
IDS_PROPITEM_TXT_000319	
IDS_PROPITEM_TXT_000320	Shalow Stick
IDS_PROPITEM_TXT_000321	
IDS_PROPITEM_TXT_000322	Morain Stick
IDS_PROPITEM_TXT_000323	
IDS_PROPITEM_TXT_000324	Prede Stick
IDS_PROPITEM_TXT_000325	
IDS_PROPITEM_TXT_000326	Pierlin Stick
IDS_PROPITEM_TXT_000327	
IDS_PROPITEM_TXT_000328	Leoss Stick
IDS_PROPITEM_TXT_000329	
IDS_PROPITEM_TXT_000330	Labad Stick
IDS_PROPITEM_TXT_000331	
IDS_PROPITEM_TXT_000332	Forlas Stick
IDS_PROPITEM_TXT_000333	
IDS_PROPITEM_TXT_000334	Vailem Stick
IDS_PROPITEM_TXT_000335	
IDS_PROPITEM_TXT_000336	Shait Stick
IDS_PROPITEM_TXT_000337	
IDS_PROPITEM_TXT_000338	Maret Stick
IDS_PROPITEM_TXT_000339	
IDS_PROPITEM_TXT_000340	Garlain Stick
IDS_PROPITEM_TXT_000341	
IDS_PROPITEM_TXT_000342	Glass Wand
IDS_PROPITEM_TXT_000343	
IDS_PROPITEM_TXT_000344	Seal Wand
IDS_PROPITEM_TXT_000345	
IDS_PROPITEM_TXT_000346	Crystal Wand
IDS_PROPITEM_TXT_000347	
IDS_PROPITEM_TXT_000348	Cubic Wand
IDS_PROPITEM_TXT_000349	
IDS_PROPITEM_TXT_000350	Pearl Wand
IDS_PROPITEM_TXT_000351	
IDS_PROPITEM_TXT_000352	Epi Wand
IDS_PROPITEM_TXT_000353	
IDS_PROPITEM_TXT_000354	Topaz Wand
IDS_PROPITEM_TXT_000355	
IDS_PROPITEM_TXT_000356	Niz Wand
IDS_PROPITEM_TXT_000357	
IDS_PROPITEM_TXT_000358	Catseye Wand
IDS_PROPITEM_TXT_000359	
IDS_PROPITEM_TXT_000360	Ruby Wand
IDS_PROPITEM_TXT_000361	
IDS_PROPITEM_TXT_000362	Bloody Wand
IDS_PROPITEM_TXT_000363	
IDS_PROPITEM_TXT_000364	Kalis Wand
IDS_PROPITEM_TXT_000365	
IDS_PROPITEM_TXT_000366	Merr Wand
IDS_PROPITEM_TXT_000367	
IDS_PROPITEM_TXT_000368	Poly Wand
IDS_PROPITEM_TXT_000369	
IDS_PROPITEM_TXT_000370	Aurora Wand
IDS_PROPITEM_TXT_000371	
IDS_PROPITEM_TXT_000372	Mekerhill Wand
IDS_PROPITEM_TXT_000373	
IDS_PROPITEM_TXT_000374	Opel Wand
IDS_PROPITEM_TXT_000375	
IDS_PROPITEM_TXT_000376	Naz Wand
IDS_PROPITEM_TXT_000377	
IDS_PROPITEM_TXT_000378	Misty Wand
IDS_PROPITEM_TXT_000379	
IDS_PROPITEM_TXT_000380	Zerem Wand
IDS_PROPITEM_TXT_000381	
IDS_PROPITEM_TXT_000382	Rainbow Wand
IDS_PROPITEM_TXT_000383	
IDS_PROPITEM_TXT_000384	Bluebow Wand
IDS_PROPITEM_TXT_000385	
IDS_PROPITEM_TXT_000386	Zyme Wand
IDS_PROPITEM_TXT_000387	
IDS_PROPITEM_TXT_000388	Splhail Wand
IDS_PROPITEM_TXT_000389	
IDS_PROPITEM_TXT_000390	Illusion Wand
IDS_PROPITEM_TXT_000391	
IDS_PROPITEM_TXT_000392	Mirage Wand
IDS_PROPITEM_TXT_000393	
IDS_PROPITEM_TXT_000394	Flupim Wand
IDS_PROPITEM_TXT_000395	
IDS_PROPITEM_TXT_000396	Aris Wand
IDS_PROPITEM_TXT_000397	
IDS_PROPITEM_TXT_000398	Divine Wand
IDS_PROPITEM_TXT_000399	
IDS_PROPITEM_TXT_000400	Moira Wand
IDS_PROPITEM_TXT_000401	
IDS_PROPITEM_TXT_000402	Neplus Wand
IDS_PROPITEM_TXT_000403	
IDS_PROPITEM_TXT_000404	Arcadia Wand
IDS_PROPITEM_TXT_000405	
IDS_PROPITEM_TXT_000406	Tripale Wand
IDS_PROPITEM_TXT_000407	
IDS_PROPITEM_TXT_000408	Taris Wand
IDS_PROPITEM_TXT_000409	
IDS_PROPITEM_TXT_000410	Eruld Wand
IDS_PROPITEM_TXT_000411	
IDS_PROPITEM_TXT_000412	Jalate Wand
IDS_PROPITEM_TXT_000413	
IDS_PROPITEM_TXT_000414	Rismil Wand
IDS_PROPITEM_TXT_000415	
IDS_PROPITEM_TXT_000416	Kroril Wand
IDS_PROPITEM_TXT_000417	
IDS_PROPITEM_TXT_000418	Facus Wand
IDS_PROPITEM_TXT_000419	
IDS_PROPITEM_TXT_000420	Rekis Wand
IDS_PROPITEM_TXT_000421	
IDS_PROPITEM_TXT_000422	Blackwish Wand
IDS_PROPITEM_TXT_000423	
IDS_PROPITEM_TXT_000424	Daris Wand
IDS_PROPITEM_TXT_000425	
IDS_PROPITEM_TXT_000426	Hollaten Wand
IDS_PROPITEM_TXT_000427	
IDS_PROPITEM_TXT_000428	Lorai Wand
IDS_PROPITEM_TXT_000429	
IDS_PROPITEM_TXT_000430	Cron Staff
IDS_PROPITEM_TXT_000431	
IDS_PROPITEM_TXT_000432	Mile Staff
IDS_PROPITEM_TXT_000433	
IDS_PROPITEM_TXT_000434	Sailwing Staff
IDS_PROPITEM_TXT_000435	
IDS_PROPITEM_TXT_000436	Nile Staff
IDS_PROPITEM_TXT_000437	
IDS_PROPITEM_TXT_000438	Id Staff
IDS_PROPITEM_TXT_000439	
IDS_PROPITEM_TXT_000440	Inner Staff
IDS_PROPITEM_TXT_000441	
IDS_PROPITEM_TXT_000442	Seer Staff
IDS_PROPITEM_TXT_000443	
IDS_PROPITEM_TXT_000444	Herald Staff
IDS_PROPITEM_TXT_000445	
IDS_PROPITEM_TXT_000446	Ego Staff
IDS_PROPITEM_TXT_000447	
IDS_PROPITEM_TXT_000448	Addself Staff
IDS_PROPITEM_TXT_000449	
IDS_PROPITEM_TXT_000450	Sorain Staff
IDS_PROPITEM_TXT_000451	
IDS_PROPITEM_TXT_000452	Sign Staff
IDS_PROPITEM_TXT_000453	
IDS_PROPITEM_TXT_000454	Spector Staff
IDS_PROPITEM_TXT_000455	
IDS_PROPITEM_TXT_000456	Ignis Staff
IDS_PROPITEM_TXT_000457	
IDS_PROPITEM_TXT_000458	Jessy Staff
IDS_PROPITEM_TXT_000459	
IDS_PROPITEM_TXT_000460	Teba Staff
IDS_PROPITEM_TXT_000461	
IDS_PROPITEM_TXT_000462	Cosmo Staff
IDS_PROPITEM_TXT_000463	
IDS_PROPITEM_TXT_000464	Sline Staff
IDS_PROPITEM_TXT_000465	
IDS_PROPITEM_TXT_000466	Waterpool Staff
IDS_PROPITEM_TXT_000467	
IDS_PROPITEM_TXT_000468	Starwheel Staff
IDS_PROPITEM_TXT_000469	
IDS_PROPITEM_TXT_000470	Olin Staff
IDS_PROPITEM_TXT_000471	
IDS_PROPITEM_TXT_000472	Karzam Staff
IDS_PROPITEM_TXT_000473	
IDS_PROPITEM_TXT_000474	Wiz Staff
IDS_PROPITEM_TXT_000475	
IDS_PROPITEM_TXT_000476	Astrol Staff
IDS_PROPITEM_TXT_000477	
IDS_PROPITEM_TXT_000478	Bishapo Staff
IDS_PROPITEM_TXT_000479	
IDS_PROPITEM_TXT_000480	Sheikane Staff
IDS_PROPITEM_TXT_000481	
IDS_PROPITEM_TXT_000482	Guadfoll Staff
IDS_PROPITEM_TXT_000483	
IDS_PROPITEM_TXT_000484	Twenkeen Staff
IDS_PROPITEM_TXT_000485	
IDS_PROPITEM_TXT_000486	Florel Staff
IDS_PROPITEM_TXT_000487	
IDS_PROPITEM_TXT_000488	Ruofl Staff
IDS_PROPITEM_TXT_000489	
IDS_PROPITEM_TXT_000490	Birdin Staff
IDS_PROPITEM_TXT_000491	
IDS_PROPITEM_TXT_000492	Featherwing Staff
IDS_PROPITEM_TXT_000493	
IDS_PROPITEM_TXT_000494	Crossek Staff
IDS_PROPITEM_TXT_000495	
IDS_PROPITEM_TXT_000496	Holyous Staff
IDS_PROPITEM_TXT_000497	
IDS_PROPITEM_TXT_000498	Mazerior Staff
IDS_PROPITEM_TXT_000499	
IDS_PROPITEM_TXT_000500	Portel Staff
IDS_PROPITEM_TXT_000501	
IDS_PROPITEM_TXT_000502	Darkhild Staff
IDS_PROPITEM_TXT_000503	
IDS_PROPITEM_TXT_000504	Mariner Staff
IDS_PROPITEM_TXT_000505	
IDS_PROPITEM_TXT_000506	Hexagon Staff
IDS_PROPITEM_TXT_000507	
IDS_PROPITEM_TXT_000508	Remodic Staff
IDS_PROPITEM_TXT_000509	
IDS_PROPITEM_TXT_000510	Fairel Staff
IDS_PROPITEM_TXT_000511	
IDS_PROPITEM_TXT_000512	Elfyren Staff
IDS_PROPITEM_TXT_000513	
IDS_PROPITEM_TXT_000514	Angeliker Staff
IDS_PROPITEM_TXT_000515	
IDS_PROPITEM_TXT_000516	Fosharpen Staff
IDS_PROPITEM_TXT_000517	
IDS_PROPITEM_TXT_000518	Cram Knuckle
IDS_PROPITEM_TXT_000519	
IDS_PROPITEM_TXT_000520	Overam Knuckle
IDS_PROPITEM_TXT_000521	
IDS_PROPITEM_TXT_000522	Speck Knuckle
IDS_PROPITEM_TXT_000523	
IDS_PROPITEM_TXT_000524	Sardine Knuckle
IDS_PROPITEM_TXT_000525	
IDS_PROPITEM_TXT_000526	Beetle Knuckle
IDS_PROPITEM_TXT_000527	
IDS_PROPITEM_TXT_000528	Twit Knuckle
IDS_PROPITEM_TXT_000529	
IDS_PROPITEM_TXT_000530	Sledge Knuckle
IDS_PROPITEM_TXT_000531	
IDS_PROPITEM_TXT_000532	Xeno Knuckle
IDS_PROPITEM_TXT_000533	
IDS_PROPITEM_TXT_000534	Spike Knuckle
IDS_PROPITEM_TXT_000535	
IDS_PROPITEM_TXT_000536	Side Knuckle
IDS_PROPITEM_TXT_000537	
IDS_PROPITEM_TXT_000538	Mega Knuckle
IDS_PROPITEM_TXT_000539	
IDS_PROPITEM_TXT_000540	Talin Knuckle
IDS_PROPITEM_TXT_000541	
IDS_PROPITEM_TXT_000542	Wedge Knuckle
IDS_PROPITEM_TXT_000543	
IDS_PROPITEM_TXT_000544	Rigor Knuckle
IDS_PROPITEM_TXT_000545	
IDS_PROPITEM_TXT_000546	Robin Knuckle
IDS_PROPITEM_TXT_000547	
IDS_PROPITEM_TXT_000548	Rampart Knuckle
IDS_PROPITEM_TXT_000549	
IDS_PROPITEM_TXT_000550	Trocal Knuckle
IDS_PROPITEM_TXT_000551	
IDS_PROPITEM_TXT_000552	Revenant Knuckle
IDS_PROPITEM_TXT_000553	
IDS_PROPITEM_TXT_000554	Shark Knuckle
IDS_PROPITEM_TXT_000555	
IDS_PROPITEM_TXT_000556	Marvel Knuckle
IDS_PROPITEM_TXT_000557	
IDS_PROPITEM_TXT_000558	Splin Knuckle
IDS_PROPITEM_TXT_000559	
IDS_PROPITEM_TXT_000560	Overpass Knuckle
IDS_PROPITEM_TXT_000561	
IDS_PROPITEM_TXT_000562	Azuma Knuckle
IDS_PROPITEM_TXT_000563	
IDS_PROPITEM_TXT_000564	Gravity Knuckle
IDS_PROPITEM_TXT_000565	
IDS_PROPITEM_TXT_000566	Scalemer Knuckle
IDS_PROPITEM_TXT_000567	
IDS_PROPITEM_TXT_000568	Corean Knuckle
IDS_PROPITEM_TXT_000569	
IDS_PROPITEM_TXT_000570	Redornfit Knuckle
IDS_PROPITEM_TXT_000571	
IDS_PROPITEM_TXT_000572	Fistomber Knuckle
IDS_PROPITEM_TXT_000573	
IDS_PROPITEM_TXT_000574	Samuren Knuckle
IDS_PROPITEM_TXT_000575	
IDS_PROPITEM_TXT_000576	Edoren Knuckle
IDS_PROPITEM_TXT_000577	
IDS_PROPITEM_TXT_000578	Necrynzi Knuckle
IDS_PROPITEM_TXT_000579	
IDS_PROPITEM_TXT_000580	Skellock Knuckle
IDS_PROPITEM_TXT_000581	
IDS_PROPITEM_TXT_000582	Crossail Knuckle
IDS_PROPITEM_TXT_000583	
IDS_PROPITEM_TXT_000584	Goldross Knuckle
IDS_PROPITEM_TXT_000585	
IDS_PROPITEM_TXT_000586	Clawreen Knuckle
IDS_PROPITEM_TXT_000587	
IDS_PROPITEM_TXT_000588	Blesever Knuckle
IDS_PROPITEM_TXT_000589	
IDS_PROPITEM_TXT_000590	Crecendo Knuckle
IDS_PROPITEM_TXT_000591	
IDS_PROPITEM_TXT_000592	Muncuto Knuckle
IDS_PROPITEM_TXT_000593	
IDS_PROPITEM_TXT_000594	Violeker Knuckle
IDS_PROPITEM_TXT_000595	
IDS_PROPITEM_TXT_000596	Federhorn Knuckle
IDS_PROPITEM_TXT_000597	
IDS_PROPITEM_TXT_000598	Metilver Knuckle
IDS_PROPITEM_TXT_000599	
IDS_PROPITEM_TXT_000600	Knighteel Knuckle
IDS_PROPITEM_TXT_000601	
IDS_PROPITEM_TXT_000602	Blarmor Knuckle
IDS_PROPITEM_TXT_000603	
IDS_PROPITEM_TXT_000604	Lordorbl Knuckle
IDS_PROPITEM_TXT_000605	
IDS_PROPITEM_TXT_000606	Iron Yoyo
IDS_PROPITEM_TXT_000607	
IDS_PROPITEM_TXT_000608	Itun Yoyo
IDS_PROPITEM_TXT_000609	
IDS_PROPITEM_TXT_000610	Sleeper Yoyo
IDS_PROPITEM_TXT_000611	
IDS_PROPITEM_TXT_000612	Slepint Yoyo
IDS_PROPITEM_TXT_000613	
IDS_PROPITEM_TXT_000614	Cleeper Yoyo
IDS_PROPITEM_TXT_000615	
IDS_PROPITEM_TXT_000616	Client Yoyo
